"Story","Title","Result","Date","Stability","Duration (s)"
"PlanIT Demo Assignment","Test scenario One and Two","SUCCESS","2021-02-21T22:55:05.11Z[Europe/London]","0.0","8.04"
"PlanIT Demo Assignment","Test scenario Three","SUCCESS","2021-02-21T22:55:13.155Z[Europe/London]","0.0","5.52"
